Id,Hazard
6,2.43939370316
7,5.36370664715
8,5.9004400731
9,3.57385672278
10,3.23453692474
11,4.30271673251
13,4.46302466566
14,3.32602184992
16,3.42087906255
17,3.57094258725
18,4.57178096964
20,3.7243211906
27,6.76979064528
28,4.35989867587
29,2.66625373455
30,3.50030374225
34,3.37629082429
35,3.86541042297
36,3.58013629265
37,3.86662147846
38,3.31774284088
40,3.92442884205
42,4.59143499213
46,3.22194693893
47,3.81172941323
48,4.38553858192
49,6.08492205615
51,4.09449832633
52,4.59130985619
53,2.3149999284
54,3.04954187257
55,2.45943764595
56,5.60723749563
57,2.92053909851
60,4.27432079628
61,3.27007768172
64,5.57989838287
65,4.16130333209
66,4.21618192138
68,4.75860621067
70,3.2155017902
71,2.75023440514
75,3.12654014521
76,3.72038049316
78,5.31686915766
80,3.90191693778
81,4.70795867768
82,4.39549616996
83,4.08020795745
85,2.66666853253
86,2.64339561629
87,3.35739040159
89,2.7195836501
90,3.84000779481
91,4.7470048985
92,4.50088212932
95,3.33456831838
97,5.05019166023
99,2.84261683914
101,4.11593204975
102,4.31988675037
103,3.22219520606
104,4.41812305137
107,3.89613799021
108,3.2070080479
111,2.92251835735
112,5.5901762699
115,5.83425453354
119,3.30250672849
121,3.52405400776
124,3.75549329435
128,4.02586067168
130,5.50193631456
131,4.98394295872
133,5.24829478913
134,4.37119366726
137,4.09898430656
138,4.43981120133
142,4.69758169769
143,4.7779442375
144,7.22629065796
145,4.27759706212
147,3.89824085967
148,4.70704919756
152,3.23723951667
154,11.1886710699
158,3.13253133318
159,3.56734862525
160,5.0246698666
161,4.70490997789
164,2.70723607528
165,3.50791743346
166,2.44325014508
167,3.04933582697
169,3.95571525874
170,4.73887266167
171,4.64618079862
175,3.20842613181
177,3.64959442054
178,4.35677509373
180,7.60983406319
182,3.39380309666
184,7.77615708509
185,5.97747505172
186,3.61772881549
190,4.54058905843
191,3.58582611231
192,2.86639761596
195,4.74790287769
196,5.34040012064
197,3.99177906932
198,4.59773837848
199,7.2626271717
200,3.1057878545
204,2.85999566838
205,4.32864270358
207,2.40263726502
208,3.62409298183
209,7.75944615443
211,5.94227069959
216,6.26316648668
217,2.09044771275
220,4.16354167127
223,5.35392590011
224,4.97344231368
230,3.64849787912
232,3.72457043479
235,3.43773334208
236,4.72193238092
238,3.59053343535
240,2.91220954302
242,4.23810631711
244,3.43839215337
245,3.94781946916
248,3.90133228946
251,3.74882292484
256,3.49462850015
258,6.12027077287
259,4.63236538592
261,4.63826036599
267,4.71253073525
268,4.21469063472
270,4.84472916289
272,5.66416137214
273,2.87621140929
275,2.23273541823
276,3.32793394076
277,4.00240809511
279,3.63882068699
283,3.94468317732
284,4.22418052943
286,3.08280625179
287,3.89932691103
288,2.73468646156
289,5.74963045855
292,3.86583121719
293,4.67108499749
295,3.79783272689
297,3.83599692443
301,4.5313384086
303,3.34250881507
304,3.14955661943
305,2.55949119112
308,3.30557354846
309,4.28227033286
313,3.15239765912
314,4.91421562462
315,3.82614378504
316,3.45465384854
318,4.28668042269
320,4.69525409375
324,3.79712984659
